	x
1	YGL147C
2	YOL154W
3	YGL255W
4	YNL112W
5	YLR134W
6	YDR046C
7	YMR116C
8	YDR508C
9	YML056C
10	YBR092C
11	YJL190C
12	YEL040W
13	YBR069C
14	YGR234W
15	YHR216W
16	YBL039C
17	YOR108W
18	YOR095C
19	YLR167W
20	YHL015W
21	YBR189W
22	YDL228C
23	YER131W
24	YKR092C
25	YBL072C
26	YLR367W
27	YOR315W
28	YEL054C
29	YEL053W-A
30	YNL302C
31	YLR372W
32	YOL020W
33	YDL083C
34	YML026C
35	YJL158C
36	YBL005W-A
37	YOR096W
38	YKL006W
39	YLR062C
40	YCR034W
41	YGR034W
42	YKR057W
43	YJR094W-A
44	YPL263C
45	YBR191W
46	YHR010W
47	YJR145C
48	YBR048W
49	YIL018W
50	YBL003C
51	YGL031C
52	YGL123W
53	YHR089C
54	YLR029C
55	YBR084W
56	YER117W
57	YPR102C
58	YNL178W
59	YER074W
60	YPL090C
61	YNL069C
62	YPR010C
63	YNL248C
64	YDL229W
65	YPL273W
66	YDR382W
67	YKL081W
68	YOL120C
69	YBL087C
70	YJL177W
71	YNL175C
72	YOL039W
73	YOR369C
74	YPL131W
75	YDL081C
76	YLR048W
77	YGL076C
78	YOR293W
79	YDR450W
80	YDL082W
81	YLR413W
82	YLR340W
83	YML063W
84	YCL036W
85	YLR198C
86	YHR141C
87	YLR406C
88	YML024W
89	YDR034C-C
90	YBL081W
91	YLR325C
92	YMR242C
93	YOR309C
94	YPR132W
95	YKL180W
96	YJR123W
97	YGR108W
98	YBR181C
99	YPL143W
100	YBL002W
101	YOR340C
102	YGR128C
103	YBL092W
104	YOR312C
105	YOL014W
106	YPL142C
107	YDR447C
108	YMR321C
109	YLL045C
110	YCL037C
111	YER064C
112	YDL130W
113	YDR509W
114	YLR061W
115	YIL158W
116	YOR063W
117	YDR101C
118	YOR234C
119	YFR031C-A
120	YCR087W
121	YBR249C
122	YDR144C
123	YPR043W
124	YDL191W
125	YJL136C
126	YGL135W
127	YMR305C
128	YIL052C
129	YBR031W
130	YDR471W
131	YER056C-A
132	YMR143W
133	YMR304C-A
134	YDL227C
135	YNL030W
136	YLR339C
137	YGL102C
138	YMR230W
139	YGR148C
140	YLR185W
141	YDL075W
142	YGR177C
143	YDR064W
144	YLR441C
145	YIL148W
146	YIL069C
147	YLR409C
148	YCR057C
149	YPL245W
150	YOR341W
151	YLR222C
152	YJL188C
153	YLR197W
154	YGL030W
155	YDR025W
156	YLL044W
157	YGR103W
158	YOR247W
159	YPL211W
160	YGL256W
161	YNL132W
162	YOR272W
163	YLR448W
164	YPL220W
165	YHR021C
166	YLL008W
167	YMR215W
168	YDR321W
169	YOR206W
170	YNL301C
171	YKR059W
172	YKR094C
173	YDR417C
174	YNL162W
175	YCR031C
176	YOR248W
177	YPR119W
178	YDR060W
179	YGL089C
180	YDR418W
181	YDL014W
182	YIL094C
183	YIR034C
184	YOR310C
185	YAL025C
186	YML073C
187	YMR142C
188	YDL208W
189	YGR027C
190	YDR497C
191	YIL133C
192	YER156C
193	YNL169C
194	YKR093W
195	YNR009W
196	YOR222W
197	YPL079W
198	YGR161W-A
199	YFL002W-B
200	YKL033W-A
201	YNL096C
202	YGR214W
203	YJL088W
204	YLR076C
205	YOL121C
206	YKL014C
207	YMR049C
208	YDR146C
209	YPR044C
210	YJL200C
211	YOL127W
212	YPR074C
213	YDL182W
214	YLR196W
215	YML022W
216	YLR060W
217	YDL148C
218	YMR290C
219	YDR500C
220	YMR093W
221	YMR307W
222	YNL062C
223	YMR229C
224	YGL078C
225	YKL128C
226	YOL040C
227	YKL009W
228	YBR030W
229	YDR384C
230	YBL077W
231	YBL031W
232	YER006W
233	YLR150W
234	YGL189C
235	YJL080C
236	YLR175W
237	YHR193C
238	YLR129W
239	YLR449W
240	YHR197W
241	YJL122W
242	YOL097C
243	YGR123C
244	YLR432W
245	YDR012W
246	YLR083C
247	YPL093W
248	YBR029C
249	YPL081W
250	YOL077C
251	YKR081C
252	YPL249C-A
253	YGR109W-A
254	YML093W
255	YJR063W
256	YER102W
257	YCR072C
258	YDL167C
259	YLR333C
260	YHR196W
261	YGR085C
262	YLR344W
263	YHR052W
264	YAL059W
265	YGR187C
266	YIL078W
267	YDR047W
268	YML052W
269	YLR401C
270	YDR158W
271	YLR075W
272	YHR203C
273	YDR209C
274	YHR019C
275	YBL027W
276	YFL034C-A
277	YJR070C
278	YDR496C
279	YDL136W
280	YDL153C
281	YHL001W
282	YGR124W
283	YBR079C
