	x
1	YGR087C
2	YKR034W
3	YPL223C
4	YLL057C
5	YMR107W
6	YKR039W
7	YLR142W
8	YCL048W-A
9	YDR070C
10	YPL054W
11	YOR348C
12	YBR072W
13	YMR175W
14	YHL016C
15	YLR327C
16	YHR096C
17	YNL142W
18	YGR256W
19	YPL186C
20	YIR028W
21	YKR033C
22	YJR152W
23	YPL171C
24	YBL075C
25	YAL067C
26	YDL169C
27	YFL055W
28	YFL014W
29	YOL163W
30	YGR248W
31	YLR053C
32	YGR043C
33	YGL184C
34	YPL036W
35	YDL210W
36	YBR294W
37	YHL036W
38	YLR312C
39	YGR161C
40	YLR438W
41	YBL049W
42	YNL117W
43	YOL084W
44	YML128C
45	YPR151C
46	YOR338W
47	YLR178C
48	YOL162W
49	YIR017C
50	YGL121C
51	YBR208C
52	YIL166C
53	YPR150W
54	YKR076W
55	YCR021C
56	YJL144W
57	YMR174C
58	YGR088W
59	YDL085W
60	YOR173W
61	YEL039C
62	YEL060C
63	YBL043W
64	YLL055W
65	YDL222C
66	YFR053C
67	YJR155W
68	YNL014W
69	YDL204W
70	YBR169C
71	YGR201C
72	YKL107W
73	YOL103W-A
74	YLR149C
75	YNL276C
76	YPL185W
77	YIL136W
78	YPR160W
79	YIR017W-A
80	YIR031C
81	YHR087W
82	YHR176W
83	YLL061W
84	YIR027C
85	YJR010W
86	YAL061W
87	YLL026W
88	YIR038C
89	YHR138C
90	YIL101C
91	YPL222W
92	YJL045W
93	YBL078C
94	YGR008C
95	YIR030W-A
96	YPR192W
97	YJL212C
98	YDR171W
99	YJR005C-A
100	YOR374W
101	YIL164C
102	YNL195C
103	YLR164W
104	YKL163W
105	YDL059C
106	YBR105C
107	YJR137C
108	YMR196W
109	YER042W
110	YIL165C
111	YKL001C
112	YPL230W
113	YER096W
114	YLR303W
115	YNL277W
116	YIL155C
117	YER150W
118	YNL015W
119	YLR092W
120	YGL096W
121	YOL155C
122	YMR250W
123	YIL160C
124	YGL156W
125	YEL012W
126	YBR006W
127	YGR066C
128	YPR167C
129	YDL021W
130	YPR194C
131	YML100W
132	YNL194C
133	YPL123C
134	YMR090W
135	YBL064C
136	YIL099W
137	YDR253C
138	YJL163C
139	YGL180W
140	YGR236C
